Wavelength (micron)  Noise (photon/spectral_pixel)
       1.0065600       673.61726
       1.0066686       560.34737
       1.0067772       513.55633
       1.0068858       526.90554
       1.0069944       554.84844
       1.0071030       577.15117
       1.0072116       594.21288
       1.0073202       598.87728
       1.0074288       574.55269
       1.0075374       518.97006
       1.0076460       458.78368
       1.0077546       426.94513
       1.0078632       423.01080
       1.0079718       434.11884
       1.0080804       494.85874
       1.0081890       676.00507
       1.0082976       960.80534
       1.0084062       1230.0743
       1.0085148       1358.6137
       1.0086234       1290.6706
       1.0087320       1063.1140
       1.0088406       776.95754
       1.0089492       542.28619
       1.0090578       417.27039
       1.0091664       376.36076
       1.0092750       368.64327
       1.0093836       370.08799
       1.0094922       374.77925
       1.0096008       384.31918
       1.0097094       400.10542
       1.0098180       420.73640
       1.0099266       445.10529
       1.0100352       471.30628
       1.0101438       499.04008
       1.0102524       548.90804
       1.0103610       657.82920
       1.0104696       810.31514
       1.0105782       926.65350
       1.0106868       935.19510
       1.0107954       823.03080
       1.0109040       643.04224
       1.0110126       484.43386
       1.0111212       410.44215
       1.0112298       405.74339
       1.0113384       432.64276
       1.0114470       533.46112
       1.0115556       826.71239
       1.0116642       1259.8192
       1.0117728       1566.2025
       1.0118814       1510.3081
       1.0119900       1125.4042
       1.0120986       691.90207
       1.0122072       511.84365
       1.0123158       665.83271
       1.0124243       988.58181
       1.0125329       1321.4119
       1.0126415       1518.5537
       1.0127501       1491.0955
       1.0128587       1255.3634
       1.0129673       941.42224
       1.0130759       740.97637
       1.0131845       699.56905
       1.0132931       659.27239
       1.0134017       564.88450
       1.0135103       486.05397
       1.0136189       455.48345
       1.0137275       445.93255
       1.0138361       442.65457
       1.0139447       443.45563
       1.0140533       445.48274
       1.0141619       447.18714
       1.0142705       450.45330
       1.0143791       462.68595
       1.0144877       489.37973
       1.0145963       521.37963
       1.0147049       543.20097
       1.0148135       550.81477
       1.0149221       552.41629
       1.0150307       557.07910
       1.0151393       578.86349
       1.0152479       651.34525
       1.0153565       788.40414
       1.0154651       933.01789
       1.0155737       1001.0887
       1.0156823       951.90730
       1.0157909       820.02378
       1.0158995       700.77738
       1.0160081       665.19793
       1.0161167       672.50407
       1.0162253       653.20862
       1.0163339       600.35984
       1.0164425       556.84763
       1.0165511       554.27578
       1.0166597       572.23526
       1.0167683       577.80664
       1.0168769       570.68339
       1.0169855       604.47943
       1.0170941       777.79788
       1.0172027       1104.6207
       1.0173113       1458.3336
       1.0174199       1675.2730
       1.0175285       1652.1679
       1.0176371       1399.5819
       1.0177457       1034.1323
       1.0178543       712.76414
       1.0179629       543.14681
       1.0180715       528.19328
       1.0181801       603.40238
       1.0182887       691.57376
       1.0183973       729.70361
       1.0185059       696.53264
       1.0186145       619.45619
       1.0187231       560.17536
       1.0188317       596.86267
       1.0189403       776.67515
       1.0190489       1042.0746
       1.0191575       1265.4295
       1.0192661       1334.3820
       1.0193747       1212.6490
       1.0194833       958.21774
       1.0195919       692.48884
       1.0197005       525.49027
       1.0198091       467.67340
       1.0199177       459.61389
       1.0200263       471.85749
       1.0201349       502.48822
       1.0202435       570.49648
       1.0203521       694.21031
       1.0204607       830.39844
       1.0205693       901.64883
       1.0206779       871.75011
       1.0207865       789.20191
       1.0208951       782.21860
       1.0210037       935.62266
       1.0211123       1189.9898
       1.0212209       1435.2289
       1.0213295       1566.6802
       1.0214381       1514.6362
       1.0215467       1280.9885
       1.0216553       947.64843
       1.0217639       639.70810
       1.0218725       456.18132
       1.0219811       399.84479
       1.0220897       403.27797
       1.0221983       423.53813
       1.0223069       447.85480
       1.0224155       498.12477
       1.0225241       634.44616
       1.0226327       858.94607
       1.0227413       1075.6781
       1.0228499       1180.3856
       1.0229585       1139.1353
       1.0230671       1022.9470
       1.0231757       964.23631
       1.0232843       998.02498
       1.0233929       1023.5380
       1.0235015       953.84524
       1.0236101       790.77463
       1.0237187       621.57785
       1.0238273       534.06595
       1.0239359       515.27701
       1.0240445       513.37063
       1.0241531       513.56961
       1.0242617       518.22312
       1.0243703       521.44930
       1.0244789       510.53303
       1.0245875       484.11041
       1.0246961       461.94329
       1.0248047       481.86317
       1.0249133       547.54545
       1.0250219       589.20483
       1.0251305       554.67894
       1.0252391       477.70792
       1.0253477       424.24488
       1.0254563       410.19672
       1.0255649       416.37812
       1.0256735       431.85576
       1.0257821       449.90776
       1.0258907       461.65931
       1.0259993       461.73863
       1.0261079       451.64907
       1.0262165       440.40222
       1.0263251       438.13832
       1.0264337       444.08705
       1.0265423       450.45627
       1.0266509       454.69882
       1.0267595       461.27396
       1.0268681       476.50528
       1.0269768       507.73824
       1.0270853       566.60494
       1.0271940       651.04240
       1.0273025       723.89002
       1.0274112       740.70177
       1.0275197       687.34318
       1.0276284       591.21913
       1.0277369       504.05098
       1.0278456       459.33970
       1.0279541       449.89763
       1.0280628       453.18680
       1.0281713       457.30264
       1.0282800       472.99862
       1.0283885       559.01546
       1.0284972       818.13426
       1.0286057       1285.3323
       1.0287144       1866.0805
       1.0288229       2360.4296
       1.0289316       2566.3379
       1.0290401       2389.6374
       1.0291488       1903.9083
       1.0292573       1320.7809
       1.0293660       887.29516
       1.0294745       765.69324
       1.0295832       904.16612
       1.0296917       1149.3926
       1.0298004       1354.8683
       1.0299089       1402.2645
       1.0300176       1255.8954
       1.0301261       978.31913
       1.0302348       694.43314
       1.0303433       520.18916
       1.0304520       470.42174
       1.0305605       479.08740
       1.0306692       499.43123
       1.0307777       523.53256
       1.0308864       575.18370
       1.0309949       676.03930
       1.0311036       794.55375
       1.0312121       864.60137
       1.0313208       843.63350
       1.0314293       739.65882
       1.0315380       604.45871
       1.0316466       498.53298
       1.0317552       443.31527
       1.0318638       420.22585
       1.0319724       411.60099
       1.0320810       411.61524
